tiempo,Ti_CB,Ti_CA,Ti_CI01,Ti_CI03,To,Ti_Ccomb,Ti
09/06/2019 09:10,27.8688921,27.54438941,27.73681558,27.69042704,28.4,27.43907142,25.9549026
09/06/2019 09:20,27.98428035,27.66036006,27.92891214,27.84405583,28.5,27.59769038,26.0310468
09/06/2019 09:30,28.06639001,27.73493503,27.89176995,27.89759243,29,27.63743641,26.1371872
09/06/2019 09:40,28.22601045,27.88009972,28.36199892,28.18654831,29,27.94722815,26.153339
09/06/2019 09:50,28.28937402,27.87560667,28.07748764,28.13950418,27.9,27.81378626,26.222561
09/06/2019 10:00,28.34307493,27.90586162,27.7347925,27.99919958,27.6,27.76112575,26.3287014
09/06/2019 10:10,28.42937456,28.00144791,27.89715199,28.12961838,27.9,27.82254436,26.4209974
09/06/2019 10:20,28.56627453,28.12721661,27.85693249,28.21571511,27.2,27.8751555,26.6113579
09/06/2019 10:30,28.69367064,28.23657383,27.77043506,28.21530576,27.4,27.89012612,26.6644281
09/06/2019 10:40,28.79271861,28.32125099,28.01506566,28.30939797,27.9,28.02785221,26.7025002
09/06/2019 10:50,28.93806011,28.44374015,28.25134146,28.48982268,28.1,28.20440087,26.891707
09/06/2019 11:00,29.11285293,28.58755524,28.45196081,28.73352319,28.1,28.36646033,26.960929
09/06/2019 11:10,29.26599136,28.65358349,28.45663397,28.86124628,27.9,28.44189789,27.2274337
09/06/2019 11:20,29.36816565,28.77109207,28.68700785,29.01407365,28.4,28.56711217,27.3105001
09/06/2019 11:30,29.52949031,28.9442206,28.93101601,29.15099544,28.9,28.74071957,27.3381889
09/06/2019 11:40,29.67479757,29.07284921,29.23296243,29.37356904,29.3,28.95321045,27.5677752
09/06/2019 11:50,29.77798365,29.15734679,29.22913939,29.43486905,29.1,29.02758996,27.826204
09/06/2019 12:00,30.02237028,29.37302542,29.62976092,29.74405062,29.8,29.31543546,27.8885038
09/06/2019 12:10,30.19953536,29.52450608,29.71633744,29.91533908,29.4,29.44267718,27.9669554
09/06/2019 12:20,30.25930346,29.64999261,30.04533402,30.07172001,30.2,29.69251608,28.0488681
09/06/2019 12:30,30.35397807,29.68326777,30.04740657,30.1449609,29.9,29.67852373,28.2680711
09/06/2019 12:40,30.43269509,29.76137354,29.96757108,30.12857585,29.9,29.76203659,28.4111299
09/06/2019 12:50,30.57396376,29.82145674,29.9928564,30.22929784,29.6,29.74576056,28.5357295
