Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/07  16:10:00,34.9,30.80294413727715,30.951160649029686,33.105862508127469,28.931033615452784,28.977423006272376,31.870219827111094 
 05/07  16:20:00,35.0,30.868567607439766,31.076332749872529,33.19014371422347,29.03334194259284,29.107558245949869,33.66827995967068 
 05/07  16:30:00,34.8,30.906227653184354,31.165113203793955,33.225861284628468,29.125716255779638,29.227178001140506,32.99310958243305 
 05/07  16:40:00,35.1,30.96598455762421,31.30140819218288,33.27991113085627,29.24272903180741,29.37665035390194,33.25007371169197 
 05/07  16:50:00,34.7,30.979026036813456,31.37422847632113,33.285069837252709,29.34454390955987,29.507897006433717,31.784180636433424 
 05/07  17:00:00,35.1,31.021518975152178,31.465851691568319,33.342935588958557,29.425754398574879,29.61265409058132,31.43044108515818 
 05/07  17:10:00,34.9,31.054428710920019,31.563808149150533,33.3790948673019,29.53142431346107,29.74848443536077,31.8586896949675 
 05/07  17:20:00,34.9,31.1153917304275,31.715513716324609,33.45084968084129,29.64052243360466,29.88732978555297,32.867550815322719 
 05/07  17:30:00,34.7,31.159302891884776,31.82901397788675,33.50072978873751,29.73489814181647,30.00847308546079,32.94151553403871 
 05/07  17:40:00,34.7,31.189422282839435,31.91478550525434,33.53698279006114,29.825692068945704,30.124402687913109,32.938164605176968 
 05/07  17:50:00,34.7,31.213897003869979,31.99360267060235,33.57059296769425,29.913195410695385,30.233588230007045,32.83030324717318 
 05/07  18:00:00,34.6,31.23514879980454,32.05373692634603,33.59949259718909,29.988301325772178,30.325082444572407,33.57964330040524 
 05/07  18:10:00,34.5,31.26926540687863,32.13919250855058,33.48497523823587,30.07158738405534,30.423659309968504,33.807508614849897 
 05/07  18:20:00,34.2,31.27765246168707,32.18947541502018,33.412228024877638,30.14935097626128,30.51347196185619,33.435975098048618 
 05/07  18:30:00,34.0,31.290786762534596,32.25843248833385,33.35270212048079,30.2335594989933,30.607722900280529,33.35464026330098 
 05/07  18:40:00,33.8,31.305976857286937,32.33028128385429,33.30844937918025,30.319142236965527,30.700991565500336,33.219535211575067 
 05/07  18:50:00,33.5,31.304119607787429,32.35452231516686,33.27930415088399,30.379264553815174,30.764314357982543,32.910300618778069 
 05/07  19:00:00,33.3,31.300389663430769,32.38997892564097,33.189950837408307,30.45105019114255,30.838542174456387,32.744709452152068 
 05/07  19:10:00,33.0,31.303462353045707,32.43557980053288,33.08832197706816,30.52455419582762,30.913012165164046,32.6234375822275 
 05/07  19:20:00,32.7,31.311132681202247,32.4731393630398,33.01591603143474,30.583483059444708,30.97063838739371,32.441020598454638 
 05/07  19:30:00,32.5,31.323370887059846,32.49959940738629,32.975652903885158,30.632958790759227,31.017059315758176,32.32918576424787 
 05/07  19:40:00,32.3,31.331480613186238,32.51229665779235,32.941365377267967,30.677972876172338,31.05774134095784,32.13975342634834 
 05/07  19:50:00,32.1,31.337988011747237,32.51735481240977,32.90291364320238,30.718061576496465,31.092441178881708,32.004782267918418 
 05/07  20:00:00,31.9,31.340018971557809,32.51271216503449,32.85993451063656,30.752392054766788,31.12053328091756,31.83986806989613 
 05/07  20:10:00,31.6,31.335489360359035,32.49778708392551,32.81000336227747,30.78136897090459,31.142647965458914,31.647735496456023 
 05/07  20:20:00,31.1,31.323589471321129,32.47176705246218,32.74190902468811,30.805503574326747,31.159479346463806,31.422382697359234 
 05/07  20:30:00,30.7,31.305003624854437,32.43825739199697,32.66971401397568,30.82489851431928,31.171251717036435,31.355757536632685 
 05/07  20:40:00,30.5,31.2886697074929,32.406773033996639,32.60946311252771,30.83945356889267,31.17794050702428,31.221999875981188 
 05/07  20:50:00,30.4,31.279299820809809,32.37927751485946,32.564044523419159,30.849185432641624,31.17961485356918,31.306727138295576 
 05/07  21:00:00,30.1,31.26947572502378,32.34638688739738,32.50772876237949,30.85439326504845,31.17662441477097,31.03205851716742 
 05/07  21:10:00,29.0,31.231448827449137,32.284890170549648,32.40293536004343,30.855488736668904,31.169429229381433,30.859644676994603 
 05/07  21:20:00,29.0,31.192897664071248,32.225245480679948,32.291177323534807,30.852602539116789,31.158222991423025,30.62073014850202 
 05/07  21:30:00,29.5,31.203044303047386,32.221202238719907,32.29225819652936,30.845736648959809,31.14461751542631,30.99196106833466 
 05/07  21:40:00,29.1,31.185092464771537,32.18056435255182,32.23790337337833,30.834770835638797,31.125629265958897,30.338850194580667 
 05/07  21:50:00,28.9,31.160292841410816,32.127432923600327,32.181063651459819,30.818476745658438,31.100206433581368,30.596876072119735 
 05/07  22:00:00,28.1,31.129688342884906,32.075871955023519,32.10702196670178,30.799906341877937,31.074648775250595,29.940359492958757 
 05/07  22:10:00,27.2,31.06054015307519,31.970771232347159,31.94586748574523,30.7759436210033,31.041952327995565,29.41882926487067 
 05/07  22:20:00,26.6,30.995180183705285,31.871909613569107,31.796956858156095,30.75089426370953,31.010881097973316,29.31754043971872 
 05/07  22:30:00,26.9,30.977620031567488,31.825392720980088,31.745336781204349,30.722950933119234,30.9706415594294,29.292528336234736 
 05/07  22:40:00,26.4,30.96668888182884,31.79471848030224,31.71406996906326,30.698944973218834,30.928738331702229,28.925336919430518 
 05/07  22:50:00,26.7,30.94196363450339,31.732956196223925,31.6408929149858,30.667549472475277,30.873529525586535,28.794999603748253 
 05/07  23:00:00,26.9,30.915000054081113,31.659644582981455,31.55606541093756,30.619745989154479,30.80989292793725,28.778701142844886 
