Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/05  16:30:00,0.191569509,5.760911482,0.191569509,5.760911482
 06/05  16:40:00,0.174565075,5.631654254,0.174565075,5.631654254
 06/05  16:50:00,0.086219673,5.153935216,0.086219673,5.153935216
 06/05  17:00:00,-0.060871792,5.076715859,-0.060871792,5.076715859
 06/05  17:10:00,-0.106556156,5.235157038,-0.106556156,5.235157038
 06/05  17:20:00,-0.033241116,5.022874603,-0.033241116,5.022874603
 06/05  17:30:00,0.075725105,5.118733182,0.075725105,5.118733182
 06/05  17:40:00,0.087126169,5.15719022,0.087126169,5.15719022
 06/05  17:50:00,0.140388991,5.408344787,0.140388991,5.408344787
 06/05  18:00:00,0.14001252,5.406155784,0.14001252,5.406155784
 06/05  18:10:00,-1.909635984,72.52269274,-1.909635984,72.52269274
 06/05  18:20:00,-2.012403828,77.3191931,-2.012403828,77.3191931
 06/05  18:30:00,-2.114806434,81.66781049,-2.114806434,81.66781049
 06/05  18:40:00,-2.210543675,85.29067968,-2.210543675,85.29067968
 06/05  18:50:00,-2.227649375,85.89022475,-2.227649375,85.89022475
 06/05  19:00:00,-2.311920413,88.62638933,-2.311920413,88.62638933
 06/05  19:10:00,-2.432250093,91.90408052,-2.432250093,91.90408052
 06/05  19:20:00,-2.469811826,92.77856191,-2.469811826,92.77856191
 06/05  19:30:00,-2.483891551,93.08866869,-2.483891551,93.08866869
 06/05  19:40:00,-2.546283916,94.35018685,-2.546283916,94.35018685
 06/05  19:50:00,-2.625374635,95.69815604,-2.625374635,95.69815604
 06/05  20:00:00,-2.681839161,96.50189131,-2.681839161,96.50189131
 06/05  20:10:00,-2.604554214,95.36932013,-2.604554214,95.36932013
 06/05  20:20:00,-2.584655238,95.0379397,-2.584655238,95.0379397
 06/05  20:30:00,-2.553502567,94.48457195,-2.553502567,94.48457195
 06/05  20:40:00,-2.532819613,94.09322059,-2.532819613,94.09322059
 06/05  20:50:00,-2.534974783,94.13490777,-2.534974783,94.13490777
 06/05  21:00:00,-2.556384118,94.53756199,-2.556384118,94.53756199
 06/05  21:10:00,-2.593958341,95.19497383,-2.593958341,95.19497383
 06/05  21:20:00,-2.64936177,96.05497773,-2.64936177,96.05497773
 06/05  21:30:00,-2.643902045,95.97579639,-2.643902045,95.97579639
 06/05  21:40:00,-2.718844784,96.96278301,-2.718844784,96.96278301
 06/05  21:50:00,-2.78226507,97.64181352,-2.78226507,97.64181352
