Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/15  08:20:00,25.4,29.86425989249603,29.50602001954836,29.330449208397224,27.500589771430897,27.345135653509474,26.478166659743584 
 05/15  08:30:00,25.1,29.88449662652536,29.51079481798908,29.403206423458557,27.458260350613445,27.293294996390285,26.26565963664341 
 05/15  08:40:00,25.7,29.910613536169703,29.51798836379218,29.49439297433921,27.418170936037943,27.243763319625157,26.5275301151932 
 05/15  08:50:00,26.2,29.94616128427679,29.53739349526337,29.59923717530661,27.38647461957576,27.20401969131345,26.80688748849074 
 05/15  09:00:00,26.2,29.97535155207703,29.554370805327986,29.68264359589988,27.36033205880746,27.170772855391549,26.744724220279843 
 05/15  09:10:00,26.3,29.994215753182087,29.56434075415516,29.884780746378799,27.33835767830477,27.142386961150149,26.711266253725389 
 05/15  09:20:00,26.5,30.006255870477607,29.571717783203558,30.048699150496654,27.32088843603934,27.1192013282553,26.76120691544405 
 05/15  09:30:00,26.7,30.029242787175023,29.591738613541297,30.156020921990277,27.307778892890658,27.10102474249494,26.868351542992419 
 05/15  09:40:00,26.8,30.06006004042664,29.621073886765676,30.237344321819469,27.298641520851726,27.087441065350189,26.917798949923254 
 05/15  09:50:00,27.3,30.10216986480054,29.663818588620737,30.340117667070616,27.293222960060196,27.078167033970844,27.022135070136668 
 05/15  10:00:00,27.9,30.153293081158244,29.71857039370268,30.470086215073008,27.29134136178984,27.072952411756864,27.12119891599076 
 05/15  10:10:00,28.1,30.201675487441194,29.77346410468188,30.596462504769514,27.293028509904639,27.07176402134205,27.302820044261695 
 05/15  10:20:00,28.1,30.238920816020923,29.820246053307544,30.6978181432095,27.298573891303627,27.074854893639349,27.257017368161369 
 05/15  10:30:00,28.4,30.274223201366256,29.865118558641727,30.795859247068888,27.30811875127367,27.082326768512137,27.365309228189255 
 05/15  10:40:00,28.6,30.311175390242736,29.911009806899359,30.89629004407165,27.32145875397365,27.093918470645315,27.50084823613216 
 05/15  10:50:00,29.5,30.358776505161438,29.960317541852079,31.031070128845835,27.33779896409521,27.108926581080199,28.171846646587885 
 05/15  11:00:00,30.2,30.402573384286045,30.011932662676327,31.148953657335747,27.356379021431878,27.126474207155789,28.50786261922308 
 05/15  11:10:00,29.8,30.4723544576246,30.093863498760194,31.336676836986908,27.382748682602995,27.15159849644226,28.02881817854171 
 05/15  11:20:00,30.0,30.52640657393168,30.158789293711498,31.483066774642724,27.41178777677537,27.179920409208014,28.023854357057876 
 05/15  11:30:00,29.8,30.565695862382215,30.206242121779327,31.592380901013827,27.446217371845188,27.214014399217836,28.309556718386394 
 05/15  11:40:00,30.3,30.607790347111018,30.257516270670604,31.70656125007194,27.484618968899306,27.25230311760613,28.299580298805024 
 05/15  11:50:00,30.4,30.6398538707452,30.29433746335892,31.796579945525417,27.52223804450736,27.290081910248703,28.83235123788076 
 05/15  12:00:00,30.0,30.679408601882444,30.3427835122725,31.88314874820978,27.566575378052517,27.334374862623688,28.921114732462475 
 05/15  12:10:00,30.5,30.73335409092497,30.40852133812977,32.00949854412282,27.61592120718975,27.383621839690126,28.646339341331797 
 05/15  12:20:00,30.7,30.789394632697353,30.475653513770497,32.14258968994807,27.66385309685029,27.431446424036424,28.922072198779419 
 05/15  12:30:00,31.1,30.825208294694514,30.512825673906926,32.24070893798082,27.70778759813945,27.475571756183418,29.427252133993528 
 05/15  12:40:00,30.9,30.87160447515636,30.562951665821687,32.34225356047251,27.760957080564955,27.528699083147257,29.54631621033532 
 05/15  12:50:00,31.4,30.91773546809923,30.61298356693876,32.44638459736888,27.814104943831738,27.582236345934104,29.08046198637334 
 05/15  13:00:00,32.1,30.981949270644774,30.68490440452998,32.59356302832729,27.87010163516436,27.63853615150248,30.060614006434585 
 05/15  13:10:00,31.9,31.023819524525256,30.739376060610085,32.68813552166664,27.928970456584357,27.698225812910289,29.33398829413961 
 05/15  13:20:00,32.0,31.0863982727317,30.820018212501024,32.815969939329,27.992660725922108,27.765957851993666,29.56787279492476 
 05/15  13:30:00,32.5,31.143990661503403,30.888261810253615,32.939223223198798,28.05472888787363,27.838582198895059,30.4651168627922 
 05/15  13:40:00,32.9,31.219469975471286,30.980265554169024,33.08793349202973,28.116513301790176,27.91219059515635,30.718967404083398 
 05/15  13:50:00,33.7,31.316769660074873,31.101232386987456,33.25317619946822,28.18371122872043,27.99358033424221,30.867957267995938 
 05/15  14:00:00,34.0,31.362850891388058,31.162858615553345,33.32576452136238,28.241429949027176,28.06380609181575,31.29818633665196 
 05/15  14:10:00,33.4,31.403388709028176,31.226410117717536,33.389465535987,28.306945428098414,28.144058179952439,30.703336290515339 
 05/15  14:20:00,34.0,31.482787184829644,31.34150407576106,33.50836099126521,28.38101240305447,28.235244484953634,30.64014525526254 
 05/15  14:30:00,34.1,31.53924195123253,31.42780964500064,33.59590639197991,28.455163998560687,28.327460444511116,31.83436586647198 
 05/15  14:40:00,33.8,31.583842577389996,31.50621195465205,33.65744771400614,28.52523423434794,28.41576479207963,30.71906589541868 
 05/15  14:50:00,34.0,31.636105534032465,31.59889763395518,33.73091289511709,28.60274754190337,28.513122052676097,31.418141107295467 
 05/15  15:00:00,33.8,31.67745230187102,31.684524245782865,33.788925665981739,28.678646839979295,28.608990315495349,31.078825820385118 
 05/15  15:10:00,34.2,31.73828093308135,31.798584002240007,33.87448328055133,28.764894362962264,28.717572827756677,31.718224995709819 
 05/15  15:20:00,33.9,31.79907360073383,31.933693597571403,33.961602503715869,28.854438649129098,28.833259341270684,31.486288023945698 
 05/15  15:30:00,34.0,31.838851002881034,32.02216533304327,33.9971042038443,28.93289203798102,28.934526663327245,31.993629136907935 
 05/15  15:40:00,34.5,31.931162896407416,32.209993587261347,34.105943657849909,29.02654473654521,29.06115462661551,32.49333685920783 
 05/15  15:50:00,34.4,31.95843603137108,32.286058291975667,34.14477658707954,29.101357388650574,29.158833106588557,31.713905915207066 
 05/15  16:00:00,34.2,31.986520487137896,32.38785716898857,34.182145162795439,29.186117902237787,29.273396080871409,31.71340747843692 
 05/15  16:10:00,34.2,32.02307822125097,32.48627015115116,34.215189397577209,29.26542979779032,29.37572449507837,31.25379214951591 
 05/15  16:20:00,34.9,32.10761967197324,32.67594526414995,34.30558581960655,29.360441081100288,29.519463328443483,31.588830334584455 
 05/15  16:30:00,34.6,32.16468973300809,32.80202177801229,34.3645688333184,29.438029082295416,29.625352013498316,32.11772340050705 
 05/15  16:40:00,34.8,32.19362215698298,32.89912303409474,34.394689860242419,29.521049709574819,29.727572557741678,32.514263394184698 
 05/15  16:50:00,34.4,32.2138313484401,32.99252777486932,34.41656595490099,29.602481063071349,29.828313020977107,32.10825092503092 
 05/15  17:00:00,35.0,32.257303696790348,33.10370709707895,34.465861876482197,29.684242382096948,29.93071626730075,32.48410030754398 
 05/15  17:10:00,34.6,32.27495675096793,33.16715434742215,34.48556059213503,29.754800158795836,30.013524421240484,32.020837284311877 
 05/15  17:20:00,34.8,32.310425969574428,33.2678668789908,34.52175054381966,29.83839456325581,30.11690815609749,32.01563789358543 
 05/15  17:30:00,34.5,32.32693669066644,33.3386490877791,34.53505520961509,29.906727261340728,30.20603859181134,32.47967543379667 
 05/15  17:40:00,34.4,32.351127191023369,33.43586065314473,34.552975584937659,29.987949360466858,30.306507802775763,32.432765085483129 
 05/15  17:50:00,34.0,32.366275827935229,33.531745952552018,34.55741820046385,30.0689707818577,30.408124101456147,32.23036232429559 
 05/15  18:00:00,33.9,32.3773529512357,33.60838179125535,34.54443826778673,30.138103029194125,30.494069297058208,32.241299255293188 
 05/15  18:10:00,34.0,32.39243328394437,33.67369743014966,34.39086476268866,30.20063975587492,30.569720800533536,32.37679598884134 
 05/15  18:20:00,34.0,32.4122939615373,33.73544537769874,34.25573839953845,30.261262061698358,30.64092150300774,32.31193357347652 
 05/15  18:30:00,33.9,32.43419763446876,33.79464397044916,34.20262744896484,30.31917774384523,30.707155453985153,32.0301336194207 
 05/15  18:40:00,33.7,32.449058153296707,33.843660177104599,34.18547806056715,30.37306021735773,30.767151017263627,32.08531516039761 
 05/15  18:50:00,33.5,32.46016482056835,33.883473599400698,34.155405913197167,30.42329833212154,30.821514580820958,32.14083993205049 
 05/15  19:00:00,33.3,32.46406082655132,33.908754606348477,34.08729034412108,30.47080686420471,30.871412991134304,31.961878505305216 
 05/15  19:10:00,33.0,32.46401072520716,33.924249653400938,34.01092961957803,30.515982523015308,30.917429228373768,31.688481929193644 
 05/15  19:20:00,32.7,32.459289929472387,33.932838701480168,33.94898696886716,30.558714683764476,30.95957992964073,31.789344321375947 
 05/15  19:30:00,32.3,32.45333888262205,33.933509829676697,33.889482376546549,30.598617721301584,30.99762017881529,31.74842274219392 
 05/15  19:40:00,32.0,32.44574163899067,33.92644193304827,33.8292840616083,30.635171266316683,31.0312269066801,31.655002237612103 
 05/15  19:50:00,31.9,32.44047511820182,33.91679069676508,33.77897349759456,30.668002876728914,31.06025159511228,31.62653152392052 
 05/15  20:00:00,31.8,32.43670352764518,33.903979849226548,33.73795025069619,30.697037910322714,31.084828381963907,31.60209536095853 
 05/15  20:10:00,31.5,32.42795272857579,33.87825926177702,33.6721941932155,30.722466951950194,31.10534495155621,31.484124861571965 
 05/15  20:20:00,31.7,32.42376168061534,33.85691293483342,33.637331788014517,30.74460906237127,31.122342233239416,31.55860062893292 
 05/15  20:30:00,31.6,32.41761292307342,33.83590343236503,33.624395528567358,30.763820136822845,31.136537970121169,31.516280554139074 
 05/15  20:40:00,31.5,32.40896054191653,33.80571423442389,33.59524831693108,30.78053623734567,31.1474323753434,31.470102732275188 
 05/15  20:50:00,31.2,32.392446503604968,33.76215292020424,33.53712709106881,30.79535747099073,31.152291392692466,31.346137190880719 
 05/15  21:00:00,31.0,32.37190586009589,33.715719088895337,33.47821318877751,30.807011170839539,31.152831025723829,31.32314433398727 
 05/15  21:10:00,30.6,32.3466310862864,33.66452138366273,33.413959088444979,30.815119830122815,31.15042924608304,31.170949979979484 
 05/15  21:20:00,29.9,32.3191131610825,33.617560671666648,33.3466810327176,30.818577815969044,31.145234273704575,30.805457890035357 
 05/15  21:30:00,29.6,32.279823543337169,33.545628865911407,33.248402971502439,30.821618798107754,31.135761304436885,30.76212826434571 
 05/15  21:40:00,29.4,32.25534920215544,33.492302274135649,33.17539504918851,30.820999771318,31.122084357937298,30.264201780242204 
 05/15  21:50:00,29.4,32.24034622953097,33.44941801532411,33.13926541667801,30.816470284667138,31.109928254962367,30.90035838959703 
 05/15  22:00:00,29.1,32.20388363122422,33.36457947879383,33.04819855858857,30.807108243221028,31.09191496852213,30.20749378760435 
 05/15  22:10:00,28.6,32.161321263810588,33.278786188101097,32.93921413998246,30.79314159427831,31.072975787957224,30.00875741467274 
