Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/12  06:40:00,-2.6044181842878086,95.36711204918533,-2.6044181842878086,95.36711204918533 
 05/12  06:50:00,-2.6482271230540528,96.038619798814,-2.6482271230540528,96.038619798814 
 05/12  07:00:00,-2.710064901962754,96.8579355112244,-2.710064901962754,96.8579355112244 
 05/12  07:10:00,-2.6397924758556265,95.91541045621334,-2.6397924758556265,95.91541045621334 
 05/12  07:20:00,-2.5070668056994869,93.57848665253815,-2.5070668056994869,93.57848665253815 
 05/12  07:30:00,-2.387139543658006,90.76134593425536,-2.387139543658006,90.76134593425536 
 05/12  07:40:00,-2.292923059970537,88.04132646129708,-2.292923059970537,88.04132646129708 
 05/12  07:50:00,-2.1738756949773507,83.95611416026439,-2.1738756949773507,83.95611416026439 
 05/12  08:00:00,-2.0372777706061284,78.41771144315269,-2.0372777706061284,78.41771144315269 
 05/12  08:10:00,-1.9439933066915789,74.16979978366325,-1.9439933066915789,74.16979978366325 
 05/12  08:20:00,-1.9383921961431608,73.90411009544458,-1.9383921961431608,73.90411009544458 
 05/12  08:30:00,-1.8536222512474908,69.75436133744711,-1.8536222512474908,69.75436133744711 
 05/12  08:40:00,-1.7476515826096808,64.28546031675076,-1.7476515826096808,64.28546031675076 
 05/12  08:50:00,-1.7215455206873339,62.901838779666757,-1.7215455206873339,62.901838779666757 
 05/12  09:00:00,-1.72969852205927,63.335197084507949,-1.72969852205927,63.335197084507949 
 05/12  09:10:00,-1.7073834864295619,62.146593734246469,-1.7073834864295619,62.146593734246469 
 05/12  09:20:00,-1.6673978843364799,59.999401245936947,-1.6673978843364799,59.999401245936947 
 05/12  09:30:00,-1.618868793092347,57.37138304409079,-1.618868793092347,57.37138304409079 
 05/12  09:40:00,-1.5427854797164716,53.228363960713519,-1.5427854797164716,53.228363960713519 
 05/12  09:50:00,-1.528053843116521,52.425992295301679,-1.528053843116521,52.425992295301679 
 05/12  10:00:00,-1.5352890288906789,52.81999747884218,-1.5352890288906789,52.81999747884218 
 05/12  10:10:00,-1.4755187527950764,49.57221706592857,-1.4755187527950764,49.57221706592857 
 05/12  10:20:00,-1.4141399209798742,46.26684566086898,-1.4141399209798742,46.26684566086898 
 05/12  10:30:00,-1.3604863645135499,43.418065410147317,-1.3604863645135499,43.418065410147317 
 05/12  10:40:00,-1.2819107735223945,39.34161947326237,-1.2819107735223945,39.34161947326237 
 05/12  10:50:00,-1.1839388452205868,34.466302762095697,-1.1839388452205868,34.466302762095697 
 05/12  11:00:00,-1.058839461882796,28.66161846992179,-1.058839461882796,28.66161846992179 
 05/12  11:10:00,-1.0556510690935462,28.520629151283204,-1.0556510690935462,28.520629151283204 
 05/12  11:20:00,-1.019174562868508,26.933945066606925,-1.019174562868508,26.933945066606925 
 05/12  11:30:00,-0.9768400690503669,25.15471855137035,-0.9768400690503669,25.15471855137035 
 05/12  11:40:00,-0.986660728110193,25.56137523299593,-0.986660728110193,25.56137523299593 
 05/12  11:50:00,-0.9312815901776735,23.317411518734873,-0.9312815901776735,23.317411518734873 
 05/12  12:00:00,-0.8392298386923325,19.859930793079387,-0.8392298386923325,19.859930793079387 
 05/12  12:10:00,-0.7471122112227386,16.753710951274884,-0.7471122112227386,16.753710951274884 
 05/12  12:20:00,-0.6469267249308249,13.787969547493177,-0.6469267249308249,13.787969547493177 
 05/12  12:30:00,-0.5308542513639846,10.895616035763638,-0.5308542513639846,10.895616035763638 
 05/12  12:40:00,-0.4014013510454568,8.35726336113052,-0.4014013510454568,8.35726336113052 
 05/12  12:50:00,-0.4154093304790333,8.597162831030787,-0.4154093304790333,8.597162831030787 
 05/12  13:00:00,-0.46045891530693186,9.425753569680936,-0.46045891530693186,9.425753569680936 
 05/12  13:10:00,-0.4599275904086328,9.415472499016247,-0.4599275904086328,9.415472499016247 
 05/12  13:20:00,-0.33134916083624169,7.28326594475044,-0.33134916083624169,7.28326594475044 
